path,bytes,modified_at_utc,role,sample_readability
.bidsignore,56,2023-08-18T13:23:01+00:00,other,NOT_SAMPLED
.datalad/config,63,2023-08-18T13:23:01+00:00,other,NOT_SAMPLED
.gitattributes,385,2023-08-18T13:23:01+00:00,other,NOT_SAMPLED
CHANGES,76,2023-08-18T14:37:58+00:00,other,NOT_SAMPLED
README,1481,2023-08-18T13:23:02+00:00,readme,TEXT_READ
dataset_description.json,314,2023-08-18T14:37:58+00:00,dataset_description,JSON_PARSED
participants.tsv,217,2023-08-18T13:23:03+00:00,participants,TSV_HEADER_READ
stimuli/Passive Listening iEEG Protocol.docx,16029,2023-08-18T13:23:03+00:00,other,NOT_SAMPLED
stimuli/Passive-Listening_iEEG_v3.py,14021,2023-08-18T13:23:03+00:00,other,NOT_SAMPLED
stimuli/Passive-Listening_iEEG_v3.pyc,12812,2023-08-18T13:23:04+00:00,other,NOT_SAMPLED
stimuli/add_duration.ipynb,2993,2023-08-18T13:23:04+00:00,other,NOT_SAMPLED
stimuli/all_df.csv,1471116,2023-08-18T13:23:04+00:00,other,NOT_SAMPLED
stimuli/all_stimuli/catalan-f01_normed.wav,303728,2023-08-18T13:23:05+00:00,audio,AUDIO_HEADER_READ
stimuli/all_stimuli/catalan-f01_question_normed.wav,334560,2023-08-18T13:23:05+00:00,audio,AUDIO_HEADER_READ
stimuli/all_stimuli/catalan-f02_normed.wav,303728,2023-08-18T13:23:05+00:00,audio,AUDIO_HEADER_READ
stimuli/all_stimuli/catalan-f02_question_normed.wav,334560,2023-08-18T13:23:05+00:00,audio,AUDIO_HEADER_READ
stimuli/all_stimuli/catalan-f03_normed.wav,303728,2023-08-18T13:23:06+00:00,audio,AUDIO_HEADER_READ
stimuli/all_stimuli/catalan-f03_question_normed.wav,334560,2023-08-18T13:23:06+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/catalan-m01_normed.wav,303728,2023-08-18T13:23:06+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/catalan-m01_question_normed.wav,334560,2023-08-18T13:23:07+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/catalan-m02_normed.wav,303728,2023-08-18T13:23:07+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/catalan-m02_question_normed.wav,334560,2023-08-18T13:23:07+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/catalan-m03_normed.wav,4485312,2023-08-18T13:23:08+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/catalan-m03_question_normed.wav,334560,2023-08-18T13:23:08+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/instructions1_normed.wav,3106520,2023-08-18T13:23:08+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/instructions2_clipped_normed.wav,2655140,2023-08-18T13:23:09+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/instructions2_normed.wav,1872828,2023-08-18T13:23:09+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/instructions3_normed.wav,551130,2023-08-18T13:23:09+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/pleasePressSpace_normed.wav,303728,2023-08-18T13:23:10+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0102b-ex01_question_normed.wav,336598,2023-08-18T13:23:10+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0202a-ex01_question_normed.wav,394774,2023-08-18T13:23:10+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0202b-ex01_normed.wav,5020206,2023-08-18T13:23:11+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0202b-ex01_question_normed.wav,392238,2023-08-18T13:23:11+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0203b-ex01_normed.wav,3788360,2023-08-18T13:23:11+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0203b-ex01_question_normed.wav,411534,2023-08-18T13:23:12+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0302b-ex01_question_normed.wav,375394,2023-08-18T13:23:12+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0305a-ex01_normed.wav,3837394,2023-08-18T13:23:12+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0305a-ex01_question_normed.wav,460016,2023-08-18T13:23:12+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0501a-ex01_question_normed.wav,622986,2023-08-18T13:23:13+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0501a-ex02_question_normed.wav,425048,2023-08-18T13:23:13+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0601a-ex01_question_normed.wav,408936,2023-08-18T13:23:13+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0602b-ex01_question_normed.wav,367126,2023-08-18T13:23:14+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0702a-ex01_normed.wav,2686814,2023-08-18T13:23:14+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0702a-ex01_question_normed.wav,315922,2023-08-18T13:23:14+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0703b-ex01_normed.wav,3442904,2023-08-18T13:23:15+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0703b-ex01_question_normed.wav,273640,2023-08-18T13:23:15+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0802b-ex01_normed.wav,2645448,2023-08-18T13:23:15+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0802b-ex01_question_normed.wav,391398,2023-08-18T13:23:16+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0901b-ex01_normed.wav,3208418,2023-08-18T13:23:16+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s0901b-ex01_question_normed.wav,433682,2023-08-18T13:23:16+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1001a-ex01_normed.wav,3675454,2023-08-18T13:23:17+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1001a-ex01_question_normed.wav,295462,2023-08-18T13:23:18+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1103a-ex01_normed.wav,4823940,2023-08-18T13:23:18+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1103a-ex01_question_normed.wav,320924,2023-08-18T13:23:18+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1201a-ex01_normed.wav,3047966,2023-08-18T13:23:19+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1201a-ex01_question_normed.wav,274094,2023-08-18T13:23:19+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1202b-ex01_normed.wav,3041014,2023-08-18T13:23:19+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1202b-ex01_question_normed.wav,307738,2023-08-18T13:23:20+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1203a-ex01_normed.wav,3004004,2023-08-18T13:23:20+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1203a-ex01_question_normed.wav,360482,2023-08-18T13:23:20+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1303a-ex01_normed.wav,3017890,2023-08-18T13:23:21+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1303a-ex01_question_normed.wav,441410,2023-08-18T13:23:21+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1303a-ex02_normed.wav,2588278,2023-08-18T13:23:21+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1303a-ex02_question_normed.wav,590086,2023-08-18T13:23:21+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1401a-ex01_normed.wav,3112104,2023-08-18T13:23:22+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1401a-ex01_question_normed.wav,341838,2023-08-18T13:23:22+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1401a-ex02_normed.wav,3226614,2023-08-18T13:23:22+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1401a-ex02_question_normed.wav,338202,2023-08-18T13:23:23+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1401b-ex01_normed.wav,4801376,2023-08-18T13:23:23+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1401b-ex01_question_normed.wav,302738,2023-08-18T13:23:23+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1501a-ex01_normed.wav,3804854,2023-08-18T13:23:24+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1501a-ex01_question_normed.wav,340858,2023-08-18T13:23:24+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1503a-ex01_normed.wav,1486710,2023-08-18T13:23:24+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1503a-ex01_question_normed.wav,340020,2023-08-18T13:23:25+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1503a-ex02_normed.wav,2435620,2023-08-18T13:23:25+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1503a-ex02_question_normed.wav,302738,2023-08-18T13:23:25+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1503a-ex03_question_normed.wav,403674,2023-08-18T13:23:26+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1604a-ex01_normed.wav,4089316,2023-08-18T13:23:26+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1604a-ex01_question_normed.wav,388216,2023-08-18T13:23:26+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1702b-ex01_normed.wav,3653574,2023-08-18T13:23:27+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1702b-ex01_question_normed.wav,401402,2023-08-18T13:23:27+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1703b-ex01_normed.wav,4718822,2023-08-18T13:23:27+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1703b-ex01_question_normed.wav,343202,2023-08-18T13:23:28+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1901a-ex01_question_normed.wav,254090,2023-08-18T13:23:28+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1901b-ex01_normed.wav,3297632,2023-08-18T13:23:28+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s1901b-ex01_question_normed.wav,360480,2023-08-18T13:23:29+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s2102a-ex01_normed.wav,2486276,2023-08-18T13:23:29+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s2102a-ex01_question_normed.wav,435046,2023-08-18T13:23:29+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s2102a-ex02_normed.wav,3207652,2023-08-18T13:23:29+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s2102a-ex02_question_normed.wav,248632,2023-08-18T13:23:30+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s2102a-ex03_normed.wav,3993134,2023-08-18T13:23:30+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s2102a-ex03_question_normed.wav,203622,2023-08-18T13:23:31+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s2202b-ex02_normed.wav,4809358,2023-08-18T13:23:31+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s2202b-ex02_question_normed.wav,407310,2023-08-18T13:23:31+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s2301a-ex01_normed.wav,1987834,2023-08-18T13:23:32+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s2301a-ex01_question_normed.wav,366392,2023-08-18T13:23:32+00:00,audio,NOT_SAMPLED
stimuli/all_stimuli/s2302b-ex01_normed.wav,3097936,2023-08-18T13:23:32+00:00,audio,NOT_SAMPLED
